CoReg;Year;Series;Value;Footnotes;Source
Saint Pierre and Miquelon;2018;Net imports [Imports - Exports - Bunkers] (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;1995;Total supply (petajoules);1;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2000;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2005;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2010;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2015;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2016;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2017;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2018;Total supply (petajoules);1;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;1995;Supply per capita (gigajoules);164;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2000;Supply per capita (gigajoules);125;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2005;Supply per capita (gigajoules);144;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2010;Supply per capita (gigajoules);143;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2015;Supply per capita (gigajoules);153;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2016;Supply per capita (gigajoules);156;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2017;Supply per capita (gigajoules);157;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Pierre and Miquelon;2018;Supply per capita (gigajoules);146;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;1995;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2000;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2005;Primary energy production (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2010;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2015;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2016;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2017;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2018;Primary energy production (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;1995;Net imports [Imports - Exports - Bunkers] (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2000;Net imports [Imports - Exports - Bunkers] (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2005;Net imports [Imports - Exports - Bunkers] (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2010;Net imports [Imports - Exports - Bunkers] (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2015;Net imports [Imports - Exports - Bunkers] (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2016;Net imports [Imports - Exports - Bunkers] (petajoules);4;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2017;Net imports [Imports - Exports - Bunkers] (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2018;Net imports [Imports - Exports - Bunkers] (petajoules);4;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2010;Changes in stocks (petajoules);0;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2015;Changes in stocks (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2016;Changes in stocks (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2017;Changes in stocks (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2018;Changes in stocks (petajoules);0;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;1995;Total supply (petajoules);2;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2000;Total supply (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2005;Total supply (petajoules);3;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2010;Total supply (petajoules);3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2015;Total supply (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2016;Total supply (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2017;Total supply (petajoules);3;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2018;Total supply (petajoules);4;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;1995;Supply per capita (gigajoules);19;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2000;Supply per capita (gigajoules);21;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2005;Supply per capita (gigajoules);31;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2010;Supply per capita (gigajoules);31;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2015;Supply per capita (gigajoules);33;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2016;Supply per capita (gigajoules);33;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2017;Supply per capita (gigajoules);29;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Saint Vincent & Grenadines;2018;Supply per capita (gigajoules);33;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Samoa;1995;Primary energy production (petajoules);2;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Samoa;2000;Primary energy production (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Samoa;2005;Primary energy production (petajoules);2;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Samoa;2010;Primary energy production (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Samoa;2015;Primary energy production (petajoules);2;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Samoa;2016;Primary energy production (petajoules);2;;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
Samoa;2017;Primary energy production (petajoules);2;Estimate.;United Nations Statistics Division, New York, Energy Statistics Yearbook 2018, last accessed February 2021.
